Unnamed: 0,review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category,clean_text
0,de_0784695,product_de_0572654,reviewer_de_0645436,1,"Leider, leider nach einmal waschen ausgeblichen . Es sieht super hübsch aus , nur leider stinkt es ganz schrecklich und ein Waschgang in der Maschine ist notwendig ! Nach einem mal waschen sah es aus als wäre es 10 Jahre alt und hatte 1000 e von Waschgängen hinter sich :( echt schade !",Leider nicht zu empfehlen,de,home,"leider, leider nach einmal waschen ausgeblichen . es sieht super hübsch aus , nur leider stinkt es ganz schrecklich und ein waschgang in der maschine ist notwendig ! nach einem mal waschen sah es aus als wäre es 10 jahre alt und hatte 1000 e von waschgängen hinter sich echt schade !"
1,de_0759207,product_de_0567331,reviewer_de_0183703,1,"zunächst macht der Anker Halter einen soliden Eindruck. Die Magnethalterung ist auch brauchbar. Was gar nicht geht ist die Tatsache, dass die Halterung für runde Lüftungsdüsen, anders als vom Hersteller beschrieben, nicht geeignet ist! Ständig fällt das Smartphone runter. Durch das häufige Wiederanbringen ist nun auch die Gummierung kaputt, was zur Folge hat, dass die Lüftungsdüse schön zerkratzt wird! Also Schrott, der auch noch mein Auto beschädigt! Für mich ist das nicht brauchbar!",Gummierung nach 6 Monaten kaputt,de,wireless,"zunächst macht der anker halter einen soliden eindruck. die magnethalterung ist auch brauchbar. was gar nicht geht ist die tatsache, dass die halterung für runde lüftungsdüsen, anders als vom hersteller beschrieben, nicht geeignet ist! ständig fällt das smartphone runter. durch das häufige wiederanbringen ist nun auch die gummierung kaputt, was zur folge hat, dass die lüftungsdüse schön zerkratzt wird! also schrott, der auch noch mein auto beschädigt! für mich ist das nicht brauchbar!"
2,de_0711785,product_de_0482105,reviewer_de_0182152,1,Siegel sowie Verpackung war beschädigt und ware war gebraucht mit Verschleiß und Fingerabdrücke. Zurück geschickt und bessere qualitativere Artikel gekauft.,Flohmarkt ware,de,industrial_supplies,siegel sowie verpackung war beschädigt und ware war gebraucht mit verschleiß und fingerabdrücke. zurück geschickt und bessere qualitativere artikel gekauft.
3,de_0964430,product_de_0616480,reviewer_de_0991563,1,Habe dieses Produkt NIE erhalten und das Geld wurde nicht rückerstattet!!!!!!!,Katastrophe,de,industrial_supplies,habe dieses produkt nie erhalten und das geld wurde nicht rückerstattet!!!!!!!
4,de_0474538,product_de_0228702,reviewer_de_0316188,1,Die Träger sind schnell abgerissen,Reißverschluss klemmt,de,luggage,die träger sind schnell abgerissen
5,de_0178529,product_de_0846887,reviewer_de_0173544,1,Druckbild ist leider nicht akzeptabel. Die kompletten seiten werden grau eingefärbt. Verkäufer antwortet nicht auf Emails. Deshalb absolut nicht empfehlenswert.,Keine Option,de,office_product,druckbild ist leider nicht akzeptabel. die kompletten seiten werden grau eingefärbt. verkäufer antwortet nicht auf emails. deshalb absolut nicht empfehlenswert.
6,de_0217495,product_de_0056799,reviewer_de_0691450,1,🤬🤬🤬 Stoff löst sich nach kurzer Zeit,Kratzbaum,de,pet_products,stoff löst sich nach kurzer zeit
7,de_0351383,product_de_0372132,reviewer_de_0100867,1,Beim zweiten Gebrauch bereits undicht!!!,Beim zweiten Gebrauch undicht!!!,de,kitchen,beim zweiten gebrauch bereits undicht!!!
8,de_0647893,product_de_0302423,reviewer_de_0247487,1,Die Lieferung war prompt. 2 Gläser sind bereits undicht und Wasser befindet sich in den Zwischenräumen... was nun?,Undicht,de,home,die lieferung war prompt. 2 gläser sind bereits undicht und wasser befindet sich in den zwischenräumen... was nun?
9,de_0292970,product_de_0278398,reviewer_de_0388260,1,"Bin überhaupt nicht zufrieden. Das Handy ist mir einmal kurz, aus minimalen Höhe ca 30cm, auf den Tisch gefallen und die Folie ist schon wieder kaputt. MfG Sonja Sax",Panzerfolie,de,wireless,"bin überhaupt nicht zufrieden. das handy ist mir einmal kurz, aus minimalen höhe ca 30cm, auf den tisch gefallen und die folie ist schon wieder kaputt. mfg sonja sax"
